"totojeA1","totojeB1","tptpjeC1",,,,,
"totojeA2","tootojeB2","toto je ""pokus"" hehe",,,,,
,,"zpetne \ lomitko se pouziva jako \"" pro ""fffuu""",,,,,
"""",,"ja jsem carka "","" troll to je jedno pole",,,,,
,,,,,,,
"Display name","Address","City","email","telephone","telephone","company","note"
"Novák Franta","U Stodoly 23","Kutnovice","mail@mail.com",98479484,55437433,,
"Bolá Pepka","Hraničky 77","Hechtorov","asdf@omg.bg",97974472,74684847,,
"ředitel Maw Gawd","Křeslová 123","Pozorov","mawgawd@herpderp.derp",98764643,,"HURR DURR ELECTRIC",
"sekretářka Ow Data","Křeslová 123","Pozorov","owdata@herpderp.derp",,,"HURR DURR ELECTRIC",
" technik Tee Hee","Křeslová 123","Pozorov",,897736363,,"HURR DURR ELECTRIC",
"HURR DURR ELECTRIC","Křeslová 123","Pozorov","hurrdurr@herpderp.derp",,,,"ředitel Maw Gawd 98764643, mawgawd@herpderp.derp, sekretářka Ow Data owdata@herpderp.derp, technik Tee Hee 897736363"
